TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6
68.5,W,13926,362.5554884999665,150.0,discover,142.0,credit
29.0,W,2755,404.0,150.0,mastercard,102.0,credit
59.0,W,4663,490.0,150.0,visa,166.0,debit
50.0,W,18132,567.0,150.0,mastercard,117.0,debit
50.0,H,4497,514.0,150.0,mastercard,102.0,credit
49.0,W,5937,555.0,150.0,visa,226.0,debit
159.0,W,12308,360.0,150.0,visa,166.0,debit
422.5,W,12695,490.0,150.0,visa,226.0,debit
15.0,H,2803,100.0,150.0,visa,226.0,debit
117.0,W,17399,111.0,150.0,mastercard,224.0,debit
75.887,C,16496,352.0,117.0,mastercard,134.0,credit
16.495,C,4461,375.0,185.0,mastercard,224.0,debit
50.0,W,3786,418.0,150.0,visa,226.0,debit
40.0,W,12866,303.0,150.0,visa,226.0,debit
10.5,W,11839,490.0,150.0,visa,226.0,debit
57.95,W,7055,555.0,150.0,visa,226.0,debit
30.0,H,1790,555.0,150.0,visa,226.0,debit
100.0,H,11492,111.0,150.0,mastercard,219.0,credit
47.95,W,4663,490.0,150.0,visa,166.0,debit
186.0,W,7005,111.0,150.0,visa,226.0,debit
39.0,W,7875,314.0,150.0,mastercard,224.0,debit
159.95,W,11401,543.0,150.0,mastercard,117.0,debit
50.0,H,1724,583.0,150.0,visa,226.0,credit
107.95,W,2392,360.0,150.0,mastercard,166.0,debit
73.95,W,10112,360.0,150.0,visa,166.0,debit
107.95,W,15385,111.0,150.0,mastercard,224.0,debit
184.0,W,17868,148.0,150.0,visa,226.0,debit
47.95,W,11307,321.0,150.0,visa,226.0,debit
20.0,W,8431,269.0,150.0,mastercard,224.0,debit
36.99,W,12932,361.0,150.0,visa,226.0,debit
35.0,W,13276,555.0,150.0,visa,226.0,debit
363.89,W,6573,583.0,150.0,visa,226.0,credit
200.0,W,7835,361.0,150.0,visa,226.0,debit
40.0,W,8613,272.0,150.0,mastercard,224.0,debit
107.95,W,17359,555.0,150.0,visa,226.0,debit
107.95,W,9766,360.0,150.0,visa,226.0,debit
77.0,W,4806,490.0,150.0,visa,226.0,debit
21.95,W,13249,111.0,150.0,visa,226.0,debit
25.0,S,5463,399.0,150.0,american express,137.0,credit
39.95,W,12598,111.0,150.0,visa,166.0,debit
75.887,C,13329,569.0,117.0,visa,226.0,credit
774.0,W,9002,453.0,150.0,visa,226.0,debit
117.0,W,13085,417.0,150.0,visa,195.0,debit
49.0,W,10776,512.0,150.0,visa,166.0,debit
39.5,W,9281,555.0,150.0,visa,195.0,debit
36.95,W,16132,111.0,150.0,visa,226.0,debit
49.0,W,12544,321.0,150.0,visa,226.0,debit
15.0,W,4208,490.0,150.0,visa,195.0,debit
42.294,C,15885,545.0,185.0,visa,138.0,debit
3.595,C,12730,266.0,185.0,mastercard,224.0,credit
117.0,W,10045,114.0,150.0,visa,226.0,debit
226.0,W,7835,361.0,150.0,visa,226.0,debit
117.0,W,7826,481.0,150.0,mastercard,224.0,debit
130.95,W,18018,452.0,150.0,mastercard,117.0,debit
34.0,W,18370,547.0,150.0,visa,226.0,debit
210.95,W,3670,111.0,150.0,visa,226.0,debit
500.0,W,1955,383.0,150.0,visa,226.0,debit
50.0,H,11839,490.0,150.0,visa,226.0,debit
380.21,W,16659,170.0,150.0,visa,226.0,credit
35.95,W,9785,343.0,150.0,visa,100.0,debit
2454.0,W,2213,556.0,150.0,mastercard,224.0,debit
58.95,W,12544,321.0,150.0,visa,226.0,debit
200.0,W,18132,567.0,150.0,mastercard,117.0,debit
80.0,W,17967,285.0,150.0,visa,226.0,debit
250.0,W,3278,453.0,150.0,visa,226.0,debit
114.95,W,17188,321.0,150.0,visa,226.0,debit
300.0,H,15333,562.0,150.0,visa,226.0,credit
